SC_WES_INT5824323,110008831837,EGAN00001225334
SC_WES_INT5824324,110000832150,EGAN00001225335
SC_WES_INT5824327,110000954262,EGAN00001225336
SC_WES_INT5824329,110018591261,EGAN00001225337
SC_WES_INT5824331,110018515689,EGAN00001225338
SC_WES_INT5824332,110000832197,EGAN00001225339
SC_WES_INT5824338,110004524113,EGAN00001225340
SC_WES_INT5824339,110018515768,EGAN00001225341
SC_WES_INT5824341,110001120263,EGAN00001225342
SC_WES_INT5824342,110011620198,EGAN00001225343
SC_WES_INT5824344,110001548476,EGAN00001225344
SC_WES_INT5824345,110018591248,EGAN00001225346
SC_WES_INT5824351,110000522654,EGAN00001225345
SC_WES_INT5824357,110001120250,EGAN00001225347
SC_WES_INT5824361,110004524141,EGAN00001225348
SC_WES_INT5824366,110011620230,EGAN00001225349
SC_WES_INT5824372,110001424959,EGAN00001225350
SC_WES_INT5824374,110016913469,EGAN00001225351
SC_WES_INT5824381,110005058593,EGAN00001225352
SC_WES_INT5824383,110001548413,EGAN00001225353
SC_WES_INT5824394,110003663309,EGAN00001225354
SC_WES_INT5824398,110000522700,EGAN00001225355
SC_WES_INT5824400,110018591226,EGAN00001225356
SC_WES_INT5824403,110000832166,EGAN00001225357
SC_WES_INT5824404,110001424973,EGAN00001225358
SC_WES_INT5824409,110004524142,EGAN00001225359
SC_WES_INT5824411,110000832199,EGAN00001225360
SC_WES_INT5824412,110001424955,EGAN00001225361
SC_WES_INT5824413,110001120298,EGAN00001225362
SC_WES_INT5824604,110001271044,EGAN00001225363
SC_WES_INT5824605,110011873629,EGAN00001225364
SC_WES_INT5824606,110017860933,EGAN00001225365
SC_WES_INT5824607,110012531415,EGAN00001225366
SC_WES_INT5824608,110012667813,EGAN00001225367
SC_WES_INT5824609,110007436041,EGAN00001225368
SC_WES_INT5824610,110018619708,EGAN00001225369
SC_WES_INT5824611,110016165662,EGAN00001225370
SC_WES_INT5824612,110006815855,EGAN00001225371
SC_WES_INT5824613,110001010693,EGAN00001225372
SC_WES_INT5824614,110017860887,EGAN00001225373
SC_WES_INT5824615,110012531416,EGAN00001225374
SC_WES_INT5824616,110018481619,EGAN00001225375
