1	0	121500000	128900000	249250621
10	0	38000000	42300000	135534747
11	0	51600000	55700000	135006516
12	0	33300000	38200000	133851895
13	0	16300000	19500000	115169878
14	0	16100000	19100000	107349540
15	0	15800000	20700000	102531392
16	0	34600000	38600000	90354753
17	0	22200000	25800000	81195210
18	0	15400000	19000000	78077248
19	0	24400000	28600000	59128983
2	0	90500000	96800000	243199373
20	0	25600000	29400000	63025520
21	0	10900000	14300000	48129895
22	0	12200000	17900000	51304566
3	0	87900000	93900000	198022430
4	0	48200000	52700000	191154276
5	0	46100000	50700000	180915260
6	0	58700000	63300000	171115067
7	0	58000000	61700000	159138663
8	0	43100000	48100000	146364022
9	0	47300000	50700000	141213431
